"id"	"created_by_id"	"title"	"url"	"image"	"description"	"at_new_museum"	"is_online"	"location_title"	"location_street1"	"location_street2"	"location_city"	"location_locality_province"	"location_state_id"	"location_country_id"	"location_url"	"zip_postal_code"	"start_date"	"end_date"	"created"	"modified"	"allow_comments"	"slug"	"media_link"	"curator_other"	"curator_other_link"	"artists_other"	"medium_image"	"thumbnail"
11	1047032	"D.I.Y. or Die"	"http://rhizome.org/art/exhibition/diy_or_die/"	"programs/exhibition/11/diy_or_die.jpg"	"<p>In celebration of their respective ten-year anniversaries, Turbulence and Rhizome collaborated with Upgrade! New York to present an exhibition of works they commissioned of exhibited over the course of their histories. From re-purposed commercial software tohomegrown digital knitting applications and works that offer alternative constructions of identity and nationality, <b><i>D.I.Y. or Die</i></b> presents a cross-section of Internet-based art that, much like punkand grassroots activism has the urgency and invention required tochange existing standards of art practice.</p>  <p><b><i>D.I.Y. or Die</i></b> is currently installed at Individual Artists of Oklahoma (IAO), a not-for-profit arts organization presenting work by Oklahoma artists, including visual art, poetry, theater, and film and video.</p>  <p>This exhibition was part of <strong> <a href=\"/events/tenyear/calendar.rhiz\">Rhizome's Tenth Anniversary Festival</strong></a> events.</p>"	0	0	"Individual Artists of Oklahoma Gallery"	"706 W. Sheridan "	""	"Oklahoma City"	""	"Oklahoma"	"US"	"http://www.iaogallery.org/"	NULL	"2006-12-01 00:00:00"	"2007-01-15 00:00:00"	"2010-08-24 12:27:45"	"2011-06-28 11:44:49"	1	"diy-or-die"	""	""	""	""	"programs/exhibition/D.I.Y.-or-Die/DIYORDIE_250x250_250x250.jpg"	"programs/exhibition/11/diy_or_die_thumbnail.jpg"
12	1047032	"Professional Surfer"	"http://rhizome.org/events/timeshares/professionalsurfer.php"	"programs/exhibition/12/professional_surfer.jpg"	"<p><b><i>Professional Surfer</b></i> is a group exhibition that considers web browsing (aka 'surfing') as an art form.<br>It brings together websites run by individuals and collectives who re-publish found digital material next to remixed graphics, video, performance and commentary. Framed as individual artworks, the websites employ appropriation in ways that are reminiscent of Pop, video or conceptual art, yet set apart by a deep immersion in their surrounding digital environment. Presented in blog posts, or across a series of interlinked web pages, their projects transform the anarchic territory of the Internet into an aesthetic that could only be borne out of a territory in which commerce and creativity, amateurs and professionals, as well as divergent cultures and styles are in constant flux and uncomfortable proximity.</p>  <p>This exhibition is part of <a href=\"/events/timeshares/\">Times Shares</a>.</p>"	0	1	""	""	""	""	""	NULL	NULL	""	NULL	"2007-01-01 00:00:00"	"2007-01-31 00:00:00"	"2010-08-24 12:29:59"	"2011-06-28 11:44:25"	1	"professional-surfer"	""	""	""	""	"programs/exhibition/Professional-Surfer/PROFSURFER_250x250_250x250.jpg"	"programs/exhibition/12/professional_surfer_thumbnail.jpg"
13	1047032	"Networked Nature"	"http://www.foxyproduction.com/exhibition/view/659"	"programs/exhibition/13/networked_nature.jpg"	"<p>In the finale of our <strong>Tenth Anniversary Festival</strong>, Foxy Productions presents <strong><i>Networked Nature</i></strong>, a group exhibition that inventively explores the representation of 'nature' through the perspective of networked culture. The exhibition includes works by C5, Futurefarmers, Shih-Chieh Huang, Philip Ross, Stephen Vitiello, and Gail Wight, who provocatively combine art and politics with innovative technology, such as global positioning systems (GPS), robotics, and hydroponic environments.</p>      <p><strong><i>Networked Nature</i></strong> runs in conjunction with <a href=\"http://www.collegeart.org/\">CAA's annual conference</a> in New York, February 14-17, 2007.</a></p>  <p><strong><i>Networked Nature</i></strong> is supported, in part, by the Andy Warhol Foundation for the Arts, the College Art Association, the New York City Department for Cultural Affairs, and with public funds from the New York State Council on the Arts, a state agency.</p>  <p>This exhibition was part of <strong>Rhizome's Tenth Anniversary Festival</strong> events.</p>"	0	0	"Foxy Production Gallery"	"623 West 27th Street"	""	"New York"	""	"New York"	"US"	"http://www.foxyproduction.com/"	NULL	"2007-01-07 00:00:00"	"2007-02-07 00:00:00"	"2010-08-24 12:33:17"	"2011-06-28 11:44:12"	1	"networked-nature"	"http://flickr.com/photos/rhizomedotorg/sets/72157594519807766/"	""	""	""	"programs/exhibition/Networked-Nature/NETWORKEDNATURE_250x250_250x250.jpg"	"programs/exhibition/13/networked_nature_thumbnail.jpg"
14	1047032	"Touring Show"	"http://archive.rhizome.org/events/timeshares/touring.php"	"programs/exhibition/14/TOURING_SHOW.jpg"	"<p><strong><i>Touring Show</i></strong> is an online exhibition of artists' maps and 'virtual tours' of spaces public and private, ranging from the Military Industrial Complex to geographic borders, to the body. The projects mingle investigations of technology's impact on our landscape and the use of technologies to explore and document this terrain. While some of the projects read as interventions, others simply present the information needed to navigate viewers' own subjective tours.</p>      <p>This exhibition is part of <a href=\"/events/timeshares/\">Times Shares</a>.</p>"	0	1	""	""	""	""	""	NULL	NULL	""	NULL	"2007-05-01 00:00:00"	"2007-05-31 00:00:00"	"2010-08-24 12:34:58"	"2011-06-28 11:43:38"	1	"touring-show"	""	""	""	""	"programs/exhibition/Touring-Show/TOURINGSHOW_250x250_250x250.jpg"	"programs/exhibition/14/TOURING_SHOW_thumbnail.jpg"
15	1047032	"Montage: Unmonumental Online"	"http://archive.rhizome.org/exhibition/montage"	"programs/exhibition/15/montage.jpg"	"<p>The final portion of \"<a href=\"http://www.newmuseum.org/exhibitions/3\"><strong><i>Unmonumental</i></strong></a>\" will be presented online and at the New Museum of Contemporary Art.  <strong><i>Montage: Unmonumental Online</i></strong> will feature works by an international group of fourteen emerging and midcareer artists who appropriate diverse material from the Web to create new Internet-based montage. Cutting and pasting, breaking apart and re-assembling, ripping and remixing, the participating artists extend the radical practice of collage to the Internet, demonstrating how previously tried techniques can engender rich, new artistic practices. Their works incorporate varied formal elements: digital images, sound, video, or code, and also recite fictions and fantasies found online.</p><p>Equipment Courtesy of <a href=\"http://www.tekserve.com\" target=\"new\">Tekserve</a>.</p>"	0	1	""	""	""	""	""	NULL	NULL	""	NULL	"2008-02-15 00:00:00"	"2008-04-06 00:00:00"	"2010-08-24 12:37:54"	"2011-06-28 11:43:27"	1	"montage-unmonumental-online"	""	""	""	""	"programs/exhibition/Montage:-Unmonumental-Online/MONTAGE_250x250_1_250x250.jpg"	"programs/exhibition/15/montage_thumbnail.jpg"
16	1047032	"Google Art, or How to Hack Google"	"http://www.archive.rhizome.org/exhibition/googleshow/"	"programs/exhibition/16/google_art.jpg"	"In an information-based age, the ability to search and organize information amounts to power. Search engines shape knowledge, modulate web traffic, and contribute to the creation of new semantics and meanings. Currently, Google's influence is unparalleled. It has expanded the way that we search and find information, and inserted itself into nearly every web-based activity.</p>  <p>The selection of projects in <strong><i>Google Art, or How to Hack Google</i></strong> illuminate and critique the influence of this expanding online institution. The projects include ad hacks that attempt to foil Google's seemingly unstoppable business machinery, playful re-interpretations of search results and alterations of its geographical worldview. Together, they elevate and critique Google's logic, while recognizing its own deepening relationship with our culture, behavior and lives.</p>"	0	1	""	""	""	""	""	NULL	NULL	""	NULL	"2007-10-01 00:00:00"	"2007-10-31 00:00:00"	"2010-08-24 12:39:09"	"2011-06-28 11:43:13"	1	"google-art-or-how-to-hack-google"	""	""	""	""	"programs/exhibition/Google-Art,-or-How-to-Hack-Google/GOOGLEART_250x250_250x250.jpg"	"programs/exhibition/16/google_art_thumbnail.jpg"
17	1047032	"Black on White, Gray Ascending"	"http://www.newmuseum.org/exhibitions/16"	"programs/exhibition/17/black_on_white.jpg"	"<p>Using Flash animation techniques, they create fast-moving, text-based artworks that are synchronized with original scores. Seemingly an extremely simple format—text on monochromatic backgrounds— YHCHI carefully choreographs texts that weave complex and evocative narratives. The work invokes the genre of film noir, and the hard-boiled literary styles of Raymond Chandler and Phillip K. Dick. Their imaginative, witty and often politically pointed narratives offer layered and compelling stories in which identities are assumed and discarded, and ideologies of all persuasions are held up and questioned. <strong><i>Black on White, Gray Ascending</i></strong> is a new, seven-screen installation co-presented by Rhizome and the New Museum.</p>"	1	1	"the New Museum"	"235 Bowery"	""	"New York"	""	"New York"	"US"	"http://www.newmuseum.org/"	NULL	"2007-12-01 00:00:00"	"2008-03-23 00:00:00"	"2010-08-24 12:41:07"	"2011-06-28 11:43:01"	1	"black-on-white-gray-ascending"	""	"Laura Hoptman"	""	""	"programs/exhibition/Black-on-White,-Gray-Ascending/BLACKONWHITE_250x250_250x250.jpg"	"programs/exhibition/17/black_on_white_thumbnail.jpg"
18	1047032	"FW: Re: Re:"	"http://www.archive.rhizome.org/exhibition/fw_re_re/"	"programs/exhibition/18/reply_all.jpg"	"<p>Predating the internet itself, email has become a mass communication tool as well as a pillar of contemporary computing culture. The artists featured in this exhibition consider the ways email has become an unquestioned part of our lives; and their diverse works push the traditionally prescribed uses of thie ubiquitous technology. All works are selected from Rhizome's ArtBase.</p>  <p><strong><i>FW: Re: Re:</i></strong> takes the form of an email. The exhibition will exist solely in people's inboxes and will last until it’s moved to the trashed or filed and forgotten. All works are selected from Rhizome's ArtBase.</p>"	0	1	""	""	""	""	""	NULL	NULL	""	NULL	"2008-07-01 00:00:00"	"2008-07-31 00:00:00"	"2010-08-24 12:44:50"	"2011-06-28 11:42:51"	1	"fw-re-re"	""	""	""	""	"programs/exhibition/FW:-Re:-Re:/REPLYALL_250x250_250x250.jpg"	"programs/exhibition/18/reply_all_thumbnail.jpg"
19	1047032	"Splashback: Rhizome's Splash Pages, 1998-2002"	"http://www.archive.rhizome.org/exhibition/splashback/"	"programs/exhibition/19/splash_art.jpg"	"Site built by Elise Roedenbeck, Technology Assistant

Rhizome introduced splash pages to its web site in 1998 in order to display artwork with greater immediacy. Splash art occupied the entire browser window, and the works were not indexed by prefaces, links, and thumbnails as art usually was on Rhizome and other sites. When the artwork appeared, the only clue to its authorship was in an extension of Rhizome’s URL, a structural necessity that also served a community-building function. Not only did the splash project create a more direct platform for showcasing work, it also defined a circle of artists by connecting their name to Rhizome’s in the location bar and forging a direct bond between their art and Rhizome’s home page.  </p>    <p><strong><i>Splashback: Rhizome's Splash Pages, 1998-2002</i></strong> is an online exhibition featuring 39 splash pages commissioned over a four-year period. <strong><i>Splashback</i></strong> offers a brief overview of online art and design practices from ten years ago through a nearly obsolete medium, the splash page.</p><p style = \"font-size:11px;\">Image: Mark Tribe, Alex Galloway, and Martin Wattenberg, <i>Starry Night</i>, 1999</p>"	0	1	""	""	""	""	""	NULL	NULL	""	NULL	"2009-04-01 00:00:00"	"2009-04-30 00:00:00"	"2010-08-24 12:46:39"	"2011-06-28 11:42:39"	1	"splashback-rhizomes-splash-pages-1998-2002"	""	""	""	"<p>Annie Abrahams, Daniel Garcia Andujar, Ben Benjamin, heath bunting, Gregory Chatonsky, Shu Lea Cheang, Andrew Childs, Curt Cloninger, David Crawford, Mark Daggett, Joshua Davis, entropy8zuper, Andrew Forbes, Valery Grancher, Matthew Hoessli, Olia Lialina, David Lindeman, jimpunk, JODI, Yael Kanarek, Lucas Kuzma, Antonio Mendoza, Mouchette, MTAA, Robbin Murphy, Nettmedia, Scott Paterson, Pavu, Waldemar Pranckiewicz, Reinis, Satellite01, Sigma6, Starry Night, Eugene Thacker, Jake Tilson, Maciej Wisniewski, Young-Hae Chang Heavy Industries</p>
"	"programs/exhibition/Splashback:-Rhizome's-Splash-Pages,-1998-2002/SPLASHART_250x250_250x250.jpg"	"programs/exhibition/19/splash_art_thumbnail.jpg"
20	1047032	"HTML Color Codes"	"http://www.archive.rhizome.org/exhibition/html_color_codes/"	"programs/exhibition/20/rozendaal_1.png"	"<p>Site built by Travess Smalley and John Michael Boling</p><p><strong><i>The HTML Color Codes</i></strong> exhibition features a selection of internet based artworks that address the topic of digital color. The central question that the exhibition poses is whether or not artists working with the internet are in fact limited to a “ready-made” color palette, a premise that many artists working with film, photography, and mass produced, standardized paint sets have assumed. The rationale for this question stems from theories of perception that argue that color is a not ready-made object found in a paint set or machine, but rather it is an experience that results from a complex process of light interacting with the retina and human nervous system.</p>
<p style = \"font-size:11px;\">Image: Rafaël Rozendaal , <i>RGB</i>, 2001</p>"	0	1	""	""	""	""	""	NULL	NULL	""	NULL	"2009-09-01 00:00:00"	"2009-09-30 00:00:00"	"2010-08-24 12:48:04"	"2011-06-28 11:42:29"	1	"html-color-codes"	""	""	""	"<p>Chris Ashley, Michael Atavar, Michael Demers, dlsan, Jacob Broms Engblom, Elna Frederick, Morgan Rush Jones, Brian Piana, Owen Plotkin, Rafaël Rozendaal, Andrew Venell, and Noah Venezia.</p>"	"programs/exhibition/HTML-Color-Codes/ROZENDAAL_250x250_250x250.jpg"	"programs/exhibition/20/rozendaal_1_thumbnail.jpg"
21	1047032	"Free"	"http://www.newmuseum.org/free/#free"	"programs/exhibition/21/oppenheim.jpg"	"<p>“Free” explores how the internet has fundamentally changed our landscape of information and our notion of public space. Today, our shared space has expanded beyond streets and schools to more distributed forms of collectivity. What constitutes this expanded public is not only greater social connectedness but a highly visual, hybrid commons of information.</p>


<p style = \"font-size:11px;\">Image: Lisa Oppenheim, The Sun is Always Setting Somewhere Else, 2006</p>"	1	0	"the New Museum"	""	""	"New York"	""	NULL	NULL	"http://www.newmuseum.org/"	NULL	"2010-10-20 00:00:00"	"2011-01-23 00:00:00"	"2010-11-04 12:40:13"	"2011-06-28 11:42:12"	1	"free"	""	""	""	"Aleksandra Domanovic, Lizzie Fitch, David Horvitz, Lars Laumann, Andrea Longacre-White, Takeshi Murata, Lisa Oppenheim, Seth Price, Ryan Trecartin, Clunie Reid, Amanda Ross-Ho, Alexandre Singh"	"programs/exhibition/Free/OPPENHEIM_250x250_250x250.jpg"	"programs/exhibition/21/oppenheim_thumbnail.jpg"
22	1047032	"Location is Everything"	"http://archive.rhizome.org/exhibition/location_is_everything/home.html"	"programs/exhibition/22/location-is-everything.png"	"<p>\"The artists in Location is Everything have all mapped personal or collective experiences, some informed by external factors like weather data or pop-culture references, and some allowing the map itself or local residents to inform them. As a painter might pull imagery from the paint, the map as a birds-eye-view is a locative tool, which allows artists to playfully or poetically free information about physical and psychological space.\"</p>

<p>-Jillian McDonald</p>
"	0	1	""	""	""	""	""	NULL	NULL	""	NULL	"2005-01-19 12:00:00"	NULL	"2011-03-04 14:37:58"	"2011-06-28 11:41:59"	1	"location-is-everything"	""	"Jillian McDonald"	""	"Jeremy Wood, Hidekazu Minami, Julian Bleecker, Scott Paterson, Marina Zurkow, Janet Cardiff, Andrea Polli, Shawn Micallef, James Roussel, Gabe Sawhney and Germaine Koh "	"programs/exhibition/Location-is-Everything/LOCATION_250x250_250x250.jpg"	"programs/exhibition/22/location-is-everything_thumbnail.jpg"
23	1047032	"Ya Heard: Sounds from the Rhizome ArtBase"	"http://archive.rhizome.org/exhibition/ya_heard/"	"programs/exhibition/Ya-Heard:-Sounds-from-the-Rhizome-ArtBase/ya-heard.png"	"<p>\"When invited to curate an exhibition from the Rhizome Artbase, we were delighted to comb through the archived projects. Over the years we have been surfing the Artbase, watching the evolution of Internet art. The styles of interactivity and narrative have changed from moment to moment. But as artists who make sound art and net.art, one thing that has always fascinated us is the intersection of what some might consider separate fields.\"</p>

<p>-the Obadikes</p>"	1	1	"the New Museum"	""	""	"New York"	""	NULL	NULL	"http://www.newmuseum.org/"	NULL	"2004-11-15 12:00:00"	NULL	"2011-03-04 14:50:43"	"2011-06-28 11:22:45"	1	"ya-heard"	""	"Mendi and Keith Obadike"	""	"Nicolas Clauss, Michiel Knaven, Conor O'Boyle, Paul Miller, Erik Bunger, William Duckworth, Michael Sellam, Mark Amerika and Erik Belgum"	"programs/exhibition/Ya-Heard:-Sounds-from-the-Rhizome-ArtBase/YAHEARD_250x250_250x250.jpg"	"programs/exhibition/Ya-Heard:-Sounds-from-the-Rhizome-ArtBase/ya-heard_thumbnail.jpg"
25	1047032	"Raiders of the Lost ArtBase"	"http://archive.rhizome.org/exhibition/raiders/"	"programs/exhibition/Raiders-of-the-Lost-ArtBase/raiders_crop.png"	"Rhizome.org is pleased to announce the opening of our third online exhibition curated from works in the Rhizome ArtBase, an archive of over 1400 new media artworks established in 1999. The show is entitled \"Raiders of the Lost ArtBase\" and is curated by Michael Connor, Curator at FACT in Liverpool.

http://rhizome.org/art/exhibition/raiders/

Unlike past exhibitions, \"Raiders of the Lost ArtBase\" takes the form of a blog. Connor \"will be tunneling into the Rhizome ArtBase until his eyes bleed, hunting for buried treasures both ancient and new,\" selecting works sequentially, over the course of several weeks, and posting them to the \"Raiders\" website. Here, viewers may not only browse the evolving exhibition, but also add to it by interjecting comments about the works. Viewers may also receive the exhibition in a live, distributed format by syndicating it or subscribing to its RSS feed:

RSS: 0.92: http://rhizome.org/art/exhibition/raiders/wp-rss.php
RSS 2.0: http://rhizome.org/art/exhibition/raiders/wp-rss2.php

More about syndication and RSS: http://rhizome.org/syndicate/

The first work Connor has unearthed is \"Zombie and Mummy\" (2002), Dragan \"Drax\" Espenschied (DE) and Olia Lialina’s (RU) serial comic strip about two ancient misfit-buddies looking for hobbies and meaning on the Internet and elsewhere. Drax is also responsible for the epic design of \"Raiders of the Lost ArtBase,\" which is a vertically scrolling tour from the gif-strewn cosmos to the seventh circle of ArtBase hell. \"Scrolling is good,\" explains Drax, \"because people need more exercise.\""	0	1	""	""	""	""	""	NULL	NULL	""	NULL	"2005-03-01 00:00:00"	NULL	"2012-09-21 18:09:19"	"2012-09-21 18:10:47"	0	"raiders-of-the-lost-artbase"	""	""	""	""	""	"programs/exhibition/Raiders-of-the-Lost-ArtBase/raiders_thumbnail.jpg"
