title,byline,Created Date,Date Collected by Rhizome,summary
thefirstdayoftherestofyourlife.net,Michael Manning,2012,2/5/2012,"http://thefirstdayoftherestofyourlife.net is a futurist impression of The Rapture using PNGs and the ""marquee"" tag to create a looping but infinite combination of compositions.",,,,
Desktop Views,Adam Cruces,2012,2/3/2012,"Cruces has documented the studio environments of fifty internet artists. This library of screen-shots serves as evidence of the graphical user interface, and the artifacts of the artists who used them. The project takes as its cue, Alexei Shulgin's \Desktop Is\"" (1997).""",,,,
Adding to the Internet,Justin Kemp,2012,1/30/2012,"With ""Adding to the Internet"" Kemp has challenged notions of boundless and infinite content. After performing strategic Google image searches that yield absolutely no content  the artist responds with a creations and images that seek to fulfill these absurd search terms.",,,,
Proclaiming My Love,Justin Kemp,2012,1/30/2012,"Documentation of a performance which took place on 4/20/2010, atop Mount Tom in Holyoke, MA.",,,,
ExtraFile,Kim Asendorf,2011,1/27/2012,"As a way of rejecting the limitations and bias of commercial image formats, Asendorf has created a suite of new image formats specifically tailored to the ideals and aesthetics of digital artists and glitch practices.",,,,
FUCK YOU Cookie,Kim Asendorf,2011,1/27/2012,"You have just get the official ""FUCK YOU"" cookie! It is the most beautiful cookie ever and now it is yours! Send this URL simply to all your friends so that they can get a free ""FUCK YOU"" cookie too!",,,,
GIF MARKET,Kim Asendorf & Ole Fach,2011,1/26/2012,"It is just a matter of time when digital art in it's original format, as file, will be in every significant art collection. And then the GIF will be the most important file type. The project contains a series of 1024 animated GIFs, each named by a #number. The GIFs show a black line which marks the centre for the 1px large particles rotating around it. #1 is the most unique, it has only 1 pixel flying around, and therefore the most expensive. Down to the end there are so many particles that you can't see the difference between #950 and #1000. The price gets calculated by this formula:  PRICE = SALES / NUMBER * 16 Each sale increases the price, at the end the #1 will cost 16,384.00",,,,
Solo show in Sim City,Kim Asendorf,2011,1/26/2012,"Documented in a series of animated gifs, Asendorf employs the materials of Sim City 2000 as a means to performances, installations and readymades works of nostalgic game art. The depicted non-places feature vacant canvasses of ""land"" interrupted by burning buildings crumbling roads crumbling roads and shifting land forms.",,,,
Accident Airlines,Kim Asendorf,2011,1/26/2012,"A screen shot series documenting a manipulated webcam signal, captured by the artist.",,,,
I'm Here and There,Jonas Lund,2011,12/22/2011,"Through a custom browser extension, Lund has opened his personal web browsing to a level of full transparency and public scrutiny. At imhereandthere.com the URL of the website the artist is currently browsing is published in real time. When the artist visits a new site the work automatically refreshes – providing a mirror to the artist's life and browser.",,,,
Over and Over Again,Jonas Lund,2011,12/17/2011,"""A Website that loads itself over and over again"" – an exercise in recursion and browser as object this work of Lund's is a website that ~infinitely loads within itself.",,,,
Collection Enlargement,Jonas Lund & Anika Schwarzlose,2011,12/17/2011,"Collection Enlargement was originally produced as a series of 12 spam emails, offering proven methods for developing large collections of contemporary art.",,,,
VANITAS,k-u-n-s-t-k-a-m-m-e-r,2011,11/5/2011,Series VANITAS | digitally reinterpreted still life vanitas paintings
Deleted Cities,Richard Vijgen,2011,10/30/2011,"The installation is an interactive visualisation of the 650 gigabyte Geocities backup made by the Archive Team on October 27, 2009. It depicts the file system as a city map, spatially arranging the different neighbourhoods and individual lots based on the number of files they contain. In full view, the map is a datavisualisation showing the relative sizes of the different neighbourhoods. While zooming in, more and more detail becomes visible, eventually showing invididual html pages and the images they contain. While browsing, nearby MIDI files are played."
VVEBCAM,Petra Cortright,2011,10/21/2011,"VVEBCAM, originally published on YouTube in 2007, highlights the conditions of watching video on the internet, mirroring the passive consumption of online content that the viewer him/herself performs while watching the work. "
QR Calligraphy,Manuel Fern√°ndez,2011,10/13/2011,Medieval sufi poems originally writen in cufic square calligraphy were encripted to printmaking QR codes.
Scroll Tone RGB,Travess Smalley,2011,10/12/2011,Scroll Tone RGB is a website I made that uses the HTML marquee command to overlay three colored halftones. The merging and separating of the blue and green halftones create an optical flurry and interaction of color.
Luminous Form,Travess Smalley,2011,10/12/2011,"Luminous Form is a collection of irregular shapes that are animated to subtly change hues. Each shape is a looping animated gif. The negative space of each gif is transparent so that when it is added to another website, or re-blogged, it visually interacts which the background."
"Why is the No Video Signal Blue? Or, Color is No Longer Separable From Form, and the Collective Joins the Brightness Confound ~A Guided Meditation~",Andrew Norman Wilson,2011,10/7/2011,"A video/audio file/essay that asks why the no video signal is blue.
Originally published in Pool - pooool.info"
behold behold .com,Anthony Antonellis,2011,9/8/2011,"2011, HTML/Flash"
put it on a pedestal .com,Anthony Antonellis,2011,8/29/2011,"2011, HTML/JavaScript"
A Mirror Unto Itself ,Krystal South,2011,8/21/2011,"A dual-site work regarding craigslist.org, mirrors and reflected self-portraiture. Posters and essay both available for free download.
"
Hierarchical Dynamics,Wyatt Niehaus,2011,8/17/2011,"web
2011"
I Sky You,Maria del Carmen Montoya and Kevin Patton,2009,8/9/2011,
Stilllives,Dave Greber,2011,7/19/2011,"Stilllives is a hypnotic, single-channel HD video loop which exists in a world between high and low art.  A colored table cloth falls from the sky onto an unseen table, followed by objects which bounce and arrange themselves in a precarious narrative formation.  When the objects come to  rest, the scene is obscured by another table cloth and the cycle continues.  
"
Scroll Bar,Maciej Wisniewski,2011,6/28/2011,Wisniewski designed an applet that transforms a series of scroll bars into a unified generative / interactive visual instrument. Note: this work will appear quite different depending on the viewer's operating system.
The Dynamics of Non-Being,Sterling Crispin,2011,6/9/2011,"the dynamics of non-being , html page and video loops / video stills"
Perpetual Threshold,sterling crispin,2011,5/25/2011,Appropriated animation
Life Sharing,Eva and Franco Mattes aka 0100101110101101.org,2011,5/6/2011,
gridSol-precomps,a bill miller,2011,2/25/2011,gridSol-precomps comes from work first generated as small ASCII drawings. The drawings were combined into abstract compositions which were then animated. Animated sequences were output with extreme compression and then processed into animated GIF format for web presentation. The project currently consists of 9 animated gifs in sequential linked webpages using CSS and HTML to further distort and expand the moving images.
A Planetary Order (Terrestrial Cloud Globe),Martin John Callanan,2009,2/11/2011,
DUMP,Esther Hunziker,2011,2/6/2011,"DUMP is a work about empty communication, about void signs, abstract language and incoherent speech, about information overload and repetition, about confused tattle, inapprehensible word salad, thoughts going nowhere, language going everywhere, splitter, fragments, a communication of refusal.
more info on: http://www.ref17.net/hunziker/dump.html
"
Why + Wherefore,"Summer Guthery, Lumi Tan, and Nicholas Weist",2011,2/2/2011,"Why + Wherefore is a curatorial project co-founded and -directed by Summer Guthery, Lumi Tan, and Nicholas Weist."





,,,,
,,,,


,,,,

,,,,







,,,,















,,,,

,,,,



,,,,




,,,,
,,,,
,,,,

,,,,












,,,,,
,,,,,
,,,,,
,,,,,


,,,,,
,,,,,

,,,,,

,,,,,
,,,,




,,,,


,,,,



,,,,
,,,,

,,,,
,,,,
,,,,
,,,,



,,,,




,,,,

























,,,,





























,,,,

,,,,


,,,,


































,,,,




,,,,

















































































































































,,,,


































































































































































,,,,


,,,,







,,,,































,,,,






,,,,






















































































,,,,


,,,,







,,,,











,,,,












,,,,

,,,,
















,,,,

,,,,





,,,,

,,,,



,,,,












,,,,

,,,,







,,,,







,,,,








,,,,
,,,,



,,,,











,,,,



















,,,,








,,,,








,,,,





























,,,,
